"Statistic Label","CensusYear","Sex","Age Group","Birthplace","UNIT","VALUE"
"Percentage change since previous census","2022","Female","All ages","Kazakhstan","%","38.6"
"Percentage change since previous census","2022","Female","All ages","Kuwait","%","72.4"
"Percentage change since previous census","2022","Female","All ages","Lao People's Democratic Republic (the)","%","-86.9"
"Percentage change since previous census","2022","Female","All ages","Lebanon","%","153.7"
"Percentage change since previous census","2022","Female","All ages","Malaysia","%","22.7"
"Percentage change since previous census","2022","Female","All ages","Mongolia","%","103.3"
"Percentage change since previous census","2022","Female","All ages","Nepal","%","66.3"
"Percentage change since previous census","2022","Female","All ages","Oman","%","37.6"
"Percentage change since previous census","2022","Female","All ages","Pakistan","%","32.8"
"Percentage change since previous census","2022","Female","All ages","Philippines (the)","%","35.8"
"Percentage change since previous census","2022","Female","All ages","Saudi Arabia","%","11.5"
"Percentage change since previous census","2022","Female","All ages","Singapore","%","39.9"
"Percentage change since previous census","2022","Female","All ages","Korea (the Republic of) South Korea","%","-8.3"
"Percentage change since previous census","2022","Female","All ages","Sri Lanka","%","44"
"Percentage change since previous census","2022","Female","All ages","Syrian Arab Republic (the)","%","348.3"
"Percentage change since previous census","2022","Female","All ages","Taiwan (Province of China)","%","55.6"
"Percentage change since previous census","2022","Female","All ages","Thailand","%","28"
"Percentage change since previous census","2022","Female","All ages","Uzbekistan","%","33.1"
"Percentage change since previous census","2022","Female","All ages","Viet Nam","%","25.3"
"Percentage change since previous census","2022","Female","All ages","Other Asia(1)","%","97.9"
"Percentage change since previous census","2022","Female","All ages","United States of America (the)","%","21.9"
"Percentage change since previous census","2022","Female","All ages","Argentina","%","148.8"
"Percentage change since previous census","2022","Female","All ages","Brazil","%","148"
"Percentage change since previous census","2022","Female","All ages","Canada","%","32.6"
"Percentage change since previous census","2022","Female","All ages","Chile","%","231"
"Percentage change since previous census","2022","Female","All ages","Colombia","%","66.3"
"Percentage change since previous census","2022","Female","All ages","Cuba","%","31"
"Percentage change since previous census","2022","Female","All ages","Guatemala","%","28"
"Percentage change since previous census","2022","Female","All ages","Jamaica","%","19.4"
"Percentage change since previous census","2022","Female","All ages","Mexico","%","116.8"
"Percentage change since previous census","2022","Female","All ages","Peru","%","53.9"
"Percentage change since previous census","2022","Female","All ages","Trinidad and Tobago","%","30.3"
"Percentage change since previous census","2022","Female","All ages","Venezuela (Bolivarian Republic of)","%","46.1"
"Percentage change since previous census","2022","Female","All ages","Other America(2)","%","128"
"Percentage change since previous census","2022","Female","All ages","Australia","%","47.5"
"Percentage change since previous census","2022","Female","All ages","New Zealand","%","26"
"Percentage change since previous census","2022","Female","All ages","Other countries","%","100.4"
"Percentage change since previous census","2022","Female","0 - 14 years","All countries","%","0.1"
"Percentage change since previous census","2022","Female","0 - 14 years","Ireland - county of usual residence","%","-1.5"
"Percentage change since previous census","2022","Female","0 - 14 years","Ireland - county other than county of usual residence","%","1.9"
"Percentage change since previous census","2022","Female","0 - 14 years","Northern Ireland","%","-13.1"
"Percentage change since previous census","2022","Female","0 - 14 years","Scotland","%","-13.6"
"Percentage change since previous census","2022","Female","0 - 14 years","England and Wales","%","-7.6"
"Percentage change since previous census","2022","Female","0 - 14 years","Austria","%","-10.2"
"Percentage change since previous census","2022","Female","0 - 14 years","Belgium","%","45.5"
"Percentage change since previous census","2022","Female","0 - 14 years","Bulgaria","%","68.5"
"Percentage change since previous census","2022","Female","0 - 14 years","Croatia","%","188.3"
"Percentage change since previous census","2022","Female","0 - 14 years","Cyprus","%","85.7"
"Percentage change since previous census","2022","Female","0 - 14 years","Czechia","%","-8.9"
"Percentage change since previous census","2022","Female","0 - 14 years","Denmark","%","14.7"
"Percentage change since previous census","2022","Female","0 - 14 years","Estonia","%","-46.3"
"Percentage change since previous census","2022","Female","0 - 14 years","Finland","%","19"
"Percentage change since previous census","2022","Female","0 - 14 years","France","%","4.3"
"Percentage change since previous census","2022","Female","0 - 14 years","Germany","%","11.3"
"Percentage change since previous census","2022","Female","0 - 14 years","Greece","%","83.1"
"Percentage change since previous census","2022","Female","0 - 14 years","Hungary","%","-37.8"
"Percentage change since previous census","2022","Female","0 - 14 years","Italy","%","43.5"
"Percentage change since previous census","2022","Female","0 - 14 years","Latvia","%","-50.6"
"Percentage change since previous census","2022","Female","0 - 14 years","Lithuania","%","-56.9"
"Percentage change since previous census","2022","Female","0 - 14 years","Luxembourg","%","30"
"Percentage change since previous census","2022","Female","0 - 14 years","Malta","%","70.4"
"Percentage change since previous census","2022","Female","0 - 14 years","Netherlands (the)","%","-7.5"
"Percentage change since previous census","2022","Female","0 - 14 years","Poland","%","-64.9"
"Percentage change since previous census","2022","Female","0 - 14 years","Portugal","%","18.4"
"Percentage change since previous census","2022","Female","0 - 14 years","Romania","%","29.7"
"Percentage change since previous census","2022","Female","0 - 14 years","Slovakia","%","-17.5"
"Percentage change since previous census","2022","Female","0 - 14 years","Slovenia","%","-50"
"Percentage change since previous census","2022","Female","0 - 14 years","Spain","%","21.9"
"Percentage change since previous census","2022","Female","0 - 14 years","Sweden","%","41.8"
"Percentage change since previous census","2022","Female","0 - 14 years","Albania","%","66.7"
"Percentage change since previous census","2022","Female","0 - 14 years","Belarus","%","-5.4"
"Percentage change since previous census","2022","Female","0 - 14 years","Bosnia and Herzegovina","%","416.7"
"Percentage change since previous census","2022","Female","0 - 14 years","Kosovo","%","-60"
"Percentage change since previous census","2022","Female","0 - 14 years","Moldova (the Republic of)","%","220.2"
"Percentage change since previous census","2022","Female","0 - 14 years","Norway","%","70"
"Percentage change since previous census","2022","Female","0 - 14 years","Russian Federation (the)","%","-37.6"
"Percentage change since previous census","2022","Female","0 - 14 years","Serbia","%","121.2"
"Percentage change since previous census","2022","Female","0 - 14 years","Switzerland","%","73"
"Percentage change since previous census","2022","Female","0 - 14 years","Turkiye","%","173.5"
"Percentage change since previous census","2022","Female","0 - 14 years","Ukraine","%","1717.6"
"Percentage change since previous census","2022","Female","0 - 14 years","Other Europe(1)","%","28.6"
"Percentage change since previous census","2022","Female","0 - 14 years","Algeria","%","94.7"
"Percentage change since previous census","2022","Female","0 - 14 years","Angola","%","-21.4"
"Percentage change since previous census","2022","Female","0 - 14 years","Botswana","%","207.7"
"Percentage change since previous census","2022","Female","0 - 14 years","Cameroon","%","-11.5"
"Percentage change since previous census","2022","Female","0 - 14 years","Congo","%","0"
"Percentage change since previous census","2022","Female","0 - 14 years","Egypt","%","154.9"
"Percentage change since previous census","2022","Female","0 - 14 years","Ethiopia","%","-27.4"
"Percentage change since previous census","2022","Female","0 - 14 years","Ghana","%","-14.3"
"Percentage change since previous census","2022","Female","0 - 14 years","Côte d'Ivoire","%","-60"
"Percentage change since previous census","2022","Female","0 - 14 years","Kenya","%","90.6"
"Percentage change since previous census","2022","Female","0 - 14 years","Liberia","%","0"
"Percentage change since previous census","2022","Female","0 - 14 years","Libya","%","-1.4"
"Percentage change since previous census","2022","Female","0 - 14 years","Malawi","%","5.6"
"Percentage change since previous census","2022","Female","0 - 14 years","Mauritius","%","-59.6"
"Percentage change since previous census","2022","Female","0 - 14 years","Morocco","%","62.5"
"Percentage change since previous census","2022","Female","0 - 14 years","Nigeria","%","-14.9"
"Percentage change since previous census","2022","Female","0 - 14 years","Sierra Leone","%","100"
"Percentage change since previous census","2022","Female","0 - 14 years","Somalia","%","-37.7"
"Percentage change since previous census","2022","Female","0 - 14 years","South Africa","%","255.2"
"Percentage change since previous census","2022","Female","0 - 14 years","Sudan (the)","%","97.5"
"Percentage change since previous census","2022","Female","0 - 14 years","Tanzania, the United Republic of","%","-38.5"
"Percentage change since previous census","2022","Female","0 - 14 years","Togo","%","-61.5"
"Percentage change since previous census","2022","Female","0 - 14 years","Tunisia","%","450"
"Percentage change since previous census","2022","Female","0 - 14 years","Uganda","%","-9.7"
"Percentage change since previous census","2022","Female","0 - 14 years","Zambia","%","11.1"
"Percentage change since previous census","2022","Female","0 - 14 years","Zimbabwe","%","310.6"
"Percentage change since previous census","2022","Female","0 - 14 years","Other Africa(2)","%","7"
"Percentage change since previous census","2022","Female","0 - 14 years","Afghanistan","%","5.9"
"Percentage change since previous census","2022","Female","0 - 14 years","Bahrain","%","120.7"
"Percentage change since previous census","2022","Female","0 - 14 years","Bangladesh","%","15.5"
"Percentage change since previous census","2022","Female","0 - 14 years","Myanmar","%","0"
"Percentage change since previous census","2022","Female","0 - 14 years","China","%","-11.6"
"Percentage change since previous census","2022","Female","0 - 14 years","United Arab Emirates (the)","%","335"
"Percentage change since previous census","2022","Female","0 - 14 years","Georgia","%","204.8"
"Percentage change since previous census","2022","Female","0 - 14 years","Hong Kong","%","130.6"
"Percentage change since previous census","2022","Female","0 - 14 years","India","%","124.9"
"Percentage change since previous census","2022","Female","0 - 14 years","Indonesia","%","-22.7"
"Percentage change since previous census","2022","Female","0 - 14 years","Iran (Islamic Republic of)","%","18.2"
"Percentage change since previous census","2022","Female","0 - 14 years","Iraq","%","-13"
"Percentage change since previous census","2022","Female","0 - 14 years","Israel","%","-10.7"
"Percentage change since previous census","2022","Female","0 - 14 years","Japan","%","0"
"Percentage change since previous census","2022","Female","0 - 14 years","Jordan","%","93.8"
"Percentage change since previous census","2022","Female","0 - 14 years","Kazakhstan","%","-47.7"
"Percentage change since previous census","2022","Female","0 - 14 years","Kuwait","%","59.5"
"Percentage change since previous census","2022","Female","0 - 14 years","Lao People's Democratic Republic (the)","%","-90"
"Percentage change since previous census","2022","Female","0 - 14 years","Lebanon","%","884.6"
"Percentage change since previous census","2022","Female","0 - 14 years","Malaysia","%","51.2"
"Percentage change since previous census","2022","Female","0 - 14 years","Mongolia","%","150"
"Percentage change since previous census","2022","Female","0 - 14 years","Nepal","%","-15"
"Percentage change since previous census","2022","Female","0 - 14 years","Oman","%","120.5"
"Percentage change since previous census","2022","Female","0 - 14 years","Pakistan","%","25.7"
"Percentage change since previous census","2022","Female","0 - 14 years","Philippines (the)","%","-33"
"Percentage change since previous census","2022","Female","0 - 14 years","Saudi Arabia","%","31.3"
"Percentage change since previous census","2022","Female","0 - 14 years","Singapore","%","132.1"
"Percentage change since previous census","2022","Female","0 - 14 years","Korea (the Republic of) South Korea","%","48.6"
"Percentage change since previous census","2022","Female","0 - 14 years","Sri Lanka","%","3.2"
"Percentage change since previous census","2022","Female","0 - 14 years","Syrian Arab Republic (the)","%","282.3"
"Percentage change since previous census","2022","Female","0 - 14 years","Taiwan (Province of China)","%","10.3"
"Percentage change since previous census","2022","Female","0 - 14 years","Thailand","%","-19"
"Percentage change since previous census","2022","Female","0 - 14 years","Uzbekistan","%","50"
"Percentage change since previous census","2022","Female","0 - 14 years","Viet Nam","%","-42.8"
"Percentage change since previous census","2022","Female","0 - 14 years","Other Asia(1)","%","254.3"
"Percentage change since previous census","2022","Female","0 - 14 years","United States of America (the)","%","-9.4"
"Percentage change since previous census","2022","Female","0 - 14 years","Argentina","%","172.7"
"Percentage change since previous census","2022","Female","0 - 14 years","Brazil","%","261"
"Percentage change since previous census","2022","Female","0 - 14 years","Canada","%","146.5"
"Percentage change since previous census","2022","Female","0 - 14 years","Chile","%","38.9"
"Percentage change since previous census","2022","Female","0 - 14 years","Colombia","%","29.4"
"Percentage change since previous census","2022","Female","0 - 14 years","Cuba","%","33.3"
"Percentage change since previous census","2022","Female","0 - 14 years","Guatemala","%","-66.7"
"Percentage change since previous census","2022","Female","0 - 14 years","Jamaica","%","-33.3"
"Percentage change since previous census","2022","Female","0 - 14 years","Mexico","%","-34.7"
"Percentage change since previous census","2022","Female","0 - 14 years","Peru","%","7.7"
"Percentage change since previous census","2022","Female","0 - 14 years","Trinidad and Tobago","%","14.3"
"Percentage change since previous census","2022","Female","0 - 14 years","Venezuela (Bolivarian Republic of)","%","60"
"Percentage change since previous census","2022","Female","0 - 14 years","Other America(2)","%","39.5"
"Percentage change since previous census","2022","Female","0 - 14 years","Australia","%","109.8"
"Percentage change since previous census","2022","Female","0 - 14 years","New Zealand","%","47.7"
"Percentage change since previous census","2022","Female","0 - 14 years","Other countries","%","263.6"
"Percentage change since previous census","2022","Female","15 - 24 years","All countries","%","12"
"Percentage change since previous census","2022","Female","15 - 24 years","Ireland - county of usual residence","%","13"
"Percentage change since previous census","2022","Female","15 - 24 years","Ireland - county other than county of usual residence","%","17.6"
"Percentage change since previous census","2022","Female","15 - 24 years","Northern Ireland","%","20.6"
"Percentage change since previous census","2022","Female","15 - 24 years","Scotland","%","-26.2"
"Percentage change since previous census","2022","Female","15 - 24 years","England and Wales","%","-37.7"
"Percentage change since previous census","2022","Female","15 - 24 years","Austria","%","13.2"
"Percentage change since previous census","2022","Female","15 - 24 years","Belgium","%","12.8"
"Percentage change since previous census","2022","Female","15 - 24 years","Bulgaria","%","40.3"
"Percentage change since previous census","2022","Female","15 - 24 years","Croatia","%","90.9"
"Percentage change since previous census","2022","Female","15 - 24 years","Cyprus","%","-21.4"
"Percentage change since previous census","2022","Female","15 - 24 years","Czechia","%","-8.3"
"Percentage change since previous census","2022","Female","15 - 24 years","Denmark","%","-13.2"
"Percentage change since previous census","2022","Female","15 - 24 years","Estonia","%","-37"
"Percentage change since previous census","2022","Female","15 - 24 years","Finland","%","-24.1"
"Percentage change since previous census","2022","Female","15 - 24 years","France","%","2.3"
"Percentage change since previous census","2022","Female","15 - 24 years","Germany","%","-10.4"
"Percentage change since previous census","2022","Female","15 - 24 years","Greece","%","166.7"
"Percentage change since previous census","2022","Female","15 - 24 years","Hungary","%","-2.7"
"Percentage change since previous census","2022","Female","15 - 24 years","Italy","%","43.7"
"Percentage change since previous census","2022","Female","15 - 24 years","Latvia","%","8.2"
"Percentage change since previous census","2022","Female","15 - 24 years","Lithuania","%","-2.5"
"Percentage change since previous census","2022","Female","15 - 24 years","Luxembourg","%","70.8"
"Percentage change since previous census","2022","Female","15 - 24 years","Malta","%","86.7"
"Percentage change since previous census","2022","Female","15 - 24 years","Netherlands (the)","%","-1.6"
"Percentage change since previous census","2022","Female","15 - 24 years","Poland","%","5.3"
"Percentage change since previous census","2022","Female","15 - 24 years","Portugal","%","42.6"
"Percentage change since previous census","2022","Female","15 - 24 years","Romania","%","19.6"
"Percentage change since previous census","2022","Female","15 - 24 years","Slovakia","%","-1.9"
"Percentage change since previous census","2022","Female","15 - 24 years","Slovenia","%","-26.1"
"Percentage change since previous census","2022","Female","15 - 24 years","Spain","%","64.7"
"Percentage change since previous census","2022","Female","15 - 24 years","Sweden","%","-28.2"
"Percentage change since previous census","2022","Female","15 - 24 years","Albania","%","14.1"
"Percentage change since previous census","2022","Female","15 - 24 years","Belarus","%","-21.8"
"Percentage change since previous census","2022","Female","15 - 24 years","Bosnia and Herzegovina","%","-27.7"
"Percentage change since previous census","2022","Female","15 - 24 years","Kosovo","%","-55.1"
"Percentage change since previous census","2022","Female","15 - 24 years","Moldova (the Republic of)","%","91.7"
"Percentage change since previous census","2022","Female","15 - 24 years","Norway","%","9.4"
"Percentage change since previous census","2022","Female","15 - 24 years","Russian Federation (the)","%","75.7"
"Percentage change since previous census","2022","Female","15 - 24 years","Serbia","%","40.3"
"Percentage change since previous census","2022","Female","15 - 24 years","Switzerland","%","7.9"
"Percentage change since previous census","2022","Female","15 - 24 years","Turkiye","%","176.9"
"Percentage change since previous census","2022","Female","15 - 24 years","Ukraine","%","308.4"
"Percentage change since previous census","2022","Female","15 - 24 years","Other Europe(1)","%","0"
"Percentage change since previous census","2022","Female","15 - 24 years","Algeria","%","-32.6"
"Percentage change since previous census","2022","Female","15 - 24 years","Angola","%","-45.8"
"Percentage change since previous census","2022","Female","15 - 24 years","Botswana","%","134.5"
"Percentage change since previous census","2022","Female","15 - 24 years","Cameroon","%","-34.1"
"Percentage change since previous census","2022","Female","15 - 24 years","Congo","%","-30.4"
"Percentage change since previous census","2022","Female","15 - 24 years","Egypt","%","76.4"
"Percentage change since previous census","2022","Female","15 - 24 years","Ethiopia","%","218.8"
"Percentage change since previous census","2022","Female","15 - 24 years","Ghana","%","-13.7"
"Percentage change since previous census","2022","Female","15 - 24 years","Côte d'Ivoire","%","-9.7"
"Percentage change since previous census","2022","Female","15 - 24 years","Kenya","%","6"
"Percentage change since previous census","2022","Female","15 - 24 years","Liberia","%","-57.1"
"Percentage change since previous census","2022","Female","15 - 24 years","Libya","%","17"
"Percentage change since previous census","2022","Female","15 - 24 years","Malawi","%","-54.1"
"Percentage change since previous census","2022","Female","15 - 24 years","Mauritius","%","28.4"
"Percentage change since previous census","2022","Female","15 - 24 years","Morocco","%","2.6"
"Percentage change since previous census","2022","Female","15 - 24 years","Nigeria","%","-23.9"
"Percentage change since previous census","2022","Female","15 - 24 years","Sierra Leone","%","37.5"
"Percentage change since previous census","2022","Female","15 - 24 years","Somalia","%","35.2"
"Percentage change since previous census","2022","Female","15 - 24 years","South Africa","%","39.6"
"Percentage change since previous census","2022","Female","15 - 24 years","Sudan (the)","%","15.4"
"Percentage change since previous census","2022","Female","15 - 24 years","Tanzania, the United Republic of","%","68.8"
"Percentage change since previous census","2022","Female","15 - 24 years","Togo","%","-38.9"
"Percentage change since previous census","2022","Female","15 - 24 years","Tunisia","%","-40"
"Percentage change since previous census","2022","Female","15 - 24 years","Uganda","%","25.6"
"Percentage change since previous census","2022","Female","15 - 24 years","Zambia","%","9.5"
"Percentage change since previous census","2022","Female","15 - 24 years","Zimbabwe","%","29.3"
"Percentage change since previous census","2022","Female","15 - 24 years","Other Africa(2)","%","19.8"
"Percentage change since previous census","2022","Female","15 - 24 years","Afghanistan","%","26.1"
"Percentage change since previous census","2022","Female","15 - 24 years","Bahrain","%","15.8"
"Percentage change since previous census","2022","Female","15 - 24 years","Bangladesh","%","2.6"
"Percentage change since previous census","2022","Female","15 - 24 years","Myanmar","%","-15.4"
"Percentage change since previous census","2022","Female","15 - 24 years","China","%","32.5"
"Percentage change since previous census","2022","Female","15 - 24 years","United Arab Emirates (the)","%","66.7"
"Percentage change since previous census","2022","Female","15 - 24 years","Georgia","%","53.1"
"Percentage change since previous census","2022","Female","15 - 24 years","Hong Kong","%","-2.9"
"Percentage change since previous census","2022","Female","15 - 24 years","India","%","213.3"
"Percentage change since previous census","2022","Female","15 - 24 years","Indonesia","%","206.3"
"Percentage change since previous census","2022","Female","15 - 24 years","Iran (Islamic Republic of)","%","43.3"
"Percentage change since previous census","2022","Female","15 - 24 years","Iraq","%","-5.4"
"Percentage change since previous census","2022","Female","15 - 24 years","Israel","%","18.2"
"Percentage change since previous census","2022","Female","15 - 24 years","Japan","%","-6.3"
"Percentage change since previous census","2022","Female","15 - 24 years","Jordan","%","54.8"
"Percentage change since previous census","2022","Female","15 - 24 years","Kazakhstan","%","54.7"
"Percentage change since previous census","2022","Female","15 - 24 years","Kuwait","%","65.4"
"Percentage change since previous census","2022","Female","15 - 24 years","Lao People's Democratic Republic (the)","%","-81.3"
"Percentage change since previous census","2022","Female","15 - 24 years","Lebanon","%","37.5"
"Percentage change since previous census","2022","Female","15 - 24 years","Malaysia","%","-24.7"
"Percentage change since previous census","2022","Female","15 - 24 years","Mongolia","%","213.6"
"Percentage change since previous census","2022","Female","15 - 24 years","Nepal","%","-7.2"
"Percentage change since previous census","2022","Female","15 - 24 years","Oman","%","-7.9"
"Percentage change since previous census","2022","Female","15 - 24 years","Pakistan","%","-4.8"
"Percentage change since previous census","2022","Female","15 - 24 years","Philippines (the)","%","-11.4"
"Percentage change since previous census","2022","Female","15 - 24 years","Saudi Arabia","%","-13.4"
"Percentage change since previous census","2022","Female","15 - 24 years","Singapore","%","-8.3"
"Percentage change since previous census","2022","Female","15 - 24 years","Korea (the Republic of) South Korea","%","-64.5"
"Percentage change since previous census","2022","Female","15 - 24 years","Sri Lanka","%","72"
"Percentage change since previous census","2022","Female","15 - 24 years","Syrian Arab Republic (the)","%","570.4"
"Percentage change since previous census","2022","Female","15 - 24 years","Taiwan (Province of China)","%","-44.7"
"Percentage change since previous census","2022","Female","15 - 24 years","Thailand","%","44.3"
"Percentage change since previous census","2022","Female","15 - 24 years","Uzbekistan","%","-33.3"
"Percentage change since previous census","2022","Female","15 - 24 years","Viet Nam","%","318.4"
"Percentage change since previous census","2022","Female","15 - 24 years","Other Asia(1)","%","59.2"
"Percentage change since previous census","2022","Female","15 - 24 years","United States of America (the)","%","7.4"
"Percentage change since previous census","2022","Female","15 - 24 years","Argentina","%","221.6"
"Percentage change since previous census","2022","Female","15 - 24 years","Brazil","%","10.1"
"Percentage change since previous census","2022","Female","15 - 24 years","Canada","%","-16.6"
"Percentage change since previous census","2022","Female","15 - 24 years","Chile","%","179.2"
"Percentage change since previous census","2022","Female","15 - 24 years","Colombia","%","35.9"
"Percentage change since previous census","2022","Female","15 - 24 years","Cuba","%","0"
"Percentage change since previous census","2022","Female","15 - 24 years","Guatemala","%","25"
"Percentage change since previous census","2022","Female","15 - 24 years","Jamaica","%","-22.2"
"Percentage change since previous census","2022","Female","15 - 24 years","Mexico","%","51.7"
"Percentage change since previous census","2022","Female","15 - 24 years","Peru","%","25"
"Percentage change since previous census","2022","Female","15 - 24 years","Trinidad and Tobago","%","-7.7"
"Percentage change since previous census","2022","Female","15 - 24 years","Venezuela (Bolivarian Republic of)","%","-28.7"
"Percentage change since previous census","2022","Female","15 - 24 years","Other America(2)","%","119.4"
"Percentage change since previous census","2022","Female","15 - 24 years","Australia","%","-15.2"
"Percentage change since previous census","2022","Female","15 - 24 years","New Zealand","%","24"
"Percentage change since previous census","2022","Female","15 - 24 years","Other countries","%","50"
"Percentage change since previous census","2022","Female","25 - 44 years","All countries","%","1.6"
"Percentage change since previous census","2022","Female","25 - 44 years","Ireland - county of usual residence","%","-5.3"
"Percentage change since previous census","2022","Female","25 - 44 years","Ireland - county other than county of usual residence","%","-7.3"
"Percentage change since previous census","2022","Female","25 - 44 years","Northern Ireland","%","-4"
"Percentage change since previous census","2022","Female","25 - 44 years","Scotland","%","-19.8"
"Percentage change since previous census","2022","Female","25 - 44 years","England and Wales","%","-8.3"
"Percentage change since previous census","2022","Female","25 - 44 years","Austria","%","31.8"
"Percentage change since previous census","2022","Female","25 - 44 years","Belgium","%","29.8"
"Percentage change since previous census","2022","Female","25 - 44 years","Bulgaria","%","30.2"
"Percentage change since previous census","2022","Female","25 - 44 years","Croatia","%","144.5"
"Percentage change since previous census","2022","Female","25 - 44 years","Cyprus","%","80"
"Percentage change since previous census","2022","Female","25 - 44 years","Czechia","%","-5.1"
"Percentage change since previous census","2022","Female","25 - 44 years","Denmark","%","-7.5"
"Percentage change since previous census","2022","Female","25 - 44 years","Estonia","%","-13.7"
"Percentage change since previous census","2022","Female","25 - 44 years","Finland","%","-0.3"
"Percentage change since previous census","2022","Female","25 - 44 years","France","%","24"
"Percentage change since previous census","2022","Female","25 - 44 years","Germany","%","8.5"
"Percentage change since previous census","2022","Female","25 - 44 years","Greece","%","95.7"
"Percentage change since previous census","2022","Female","25 - 44 years","Hungary","%","-13.2"
"Percentage change since previous census","2022","Female","25 - 44 years","Italy","%","31.6"
"Percentage change since previous census","2022","Female","25 - 44 years","Latvia","%","-4.3"
"Percentage change since previous census","2022","Female","25 - 44 years","Lithuania","%","-6"
"Percentage change since previous census","2022","Female","25 - 44 years","Luxembourg","%","65.2"
"Percentage change since previous census","2022","Female","25 - 44 years","Malta","%","80.8"
"Percentage change since previous census","2022","Female","25 - 44 years","Netherlands (the)","%","18"
"Percentage change since previous census","2022","Female","25 - 44 years","Poland","%","-15.1"
"Percentage change since previous census","2022","Female","25 - 44 years","Portugal","%","43.7"
"Percentage change since previous census","2022","Female","25 - 44 years","Romania","%","25.4"
"Percentage change since previous census","2022","Female","25 - 44 years","Slovakia","%","-7.5"
"Percentage change since previous census","2022","Female","25 - 44 years","Slovenia","%","45.8"
"Percentage change since previous census","2022","Female","25 - 44 years","Spain","%","28.6"
"Percentage change since previous census","2022","Female","25 - 44 years","Sweden","%","3.2"
"Percentage change since previous census","2022","Female","25 - 44 years","Albania","%","83.8"
"Percentage change since previous census","2022","Female","25 - 44 years","Belarus","%","-2.8"
"Percentage change since previous census","2022","Female","25 - 44 years","Bosnia and Herzegovina","%","58.4"
"Percentage change since previous census","2022","Female","25 - 44 years","Kosovo","%","12.9"
"Percentage change since previous census","2022","Female","25 - 44 years","Moldova (the Republic of)","%","120.3"
"Percentage change since previous census","2022","Female","25 - 44 years","Norway","%","41.4"
"Percentage change since previous census","2022","Female","25 - 44 years","Russian Federation (the)","%","18.2"
"Percentage change since previous census","2022","Female","25 - 44 years","Serbia","%","73"
"Percentage change since previous census","2022","Female","25 - 44 years","Switzerland","%","9"
"Percentage change since previous census","2022","Female","25 - 44 years","Turkiye","%","223.8"
"Percentage change since previous census","2022","Female","25 - 44 years","Ukraine","%","128.4"
"Percentage change since previous census","2022","Female","25 - 44 years","Other Europe(1)","%","9.4"
"Percentage change since previous census","2022","Female","25 - 44 years","Algeria","%","34"
"Percentage change since previous census","2022","Female","25 - 44 years","Angola","%","-0.8"
"Percentage change since previous census","2022","Female","25 - 44 years","Botswana","%","66.9"
"Percentage change since previous census","2022","Female","25 - 44 years","Cameroon","%","-16.6"
"Percentage change since previous census","2022","Female","25 - 44 years","Congo","%","1.8"
"Percentage change since previous census","2022","Female","25 - 44 years","Egypt","%","104.3"
"Percentage change since previous census","2022","Female","25 - 44 years","Ethiopia","%","16.9"
"Percentage change since previous census","2022","Female","25 - 44 years","Ghana","%","4.4"
"Percentage change since previous census","2022","Female","25 - 44 years","Côte d'Ivoire","%","-25.8"
"Percentage change since previous census","2022","Female","25 - 44 years","Kenya","%","18.5"
"Percentage change since previous census","2022","Female","25 - 44 years","Liberia","%","-37"
"Percentage change since previous census","2022","Female","25 - 44 years","Libya","%","17.7"
"Percentage change since previous census","2022","Female","25 - 44 years","Malawi","%","55.9"
"Percentage change since previous census","2022","Female","25 - 44 years","Mauritius","%","4.4"
"Percentage change since previous census","2022","Female","25 - 44 years","Morocco","%","41.2"
"Percentage change since previous census","2022","Female","25 - 44 years","Nigeria","%","-6.5"
"Percentage change since previous census","2022","Female","25 - 44 years","Sierra Leone","%","5.4"
"Percentage change since previous census","2022","Female","25 - 44 years","Somalia","%","65.4"
"Percentage change since previous census","2022","Female","25 - 44 years","South Africa","%","76.9"
"Percentage change since previous census","2022","Female","25 - 44 years","Sudan (the)","%","29.5"
"Percentage change since previous census","2022","Female","25 - 44 years","Tanzania, the United Republic of","%","42.9"
"Percentage change since previous census","2022","Female","25 - 44 years","Togo","%","8.3"
"Percentage change since previous census","2022","Female","25 - 44 years","Tunisia","%","50"
"Percentage change since previous census","2022","Female","25 - 44 years","Uganda","%","45"
"Percentage change since previous census","2022","Female","25 - 44 years","Zambia","%","-28.4"
"Percentage change since previous census","2022","Female","25 - 44 years","Zimbabwe","%","88.4"
"Percentage change since previous census","2022","Female","25 - 44 years","Other Africa(2)","%","16.3"
"Percentage change since previous census","2022","Female","25 - 44 years","Afghanistan","%","70.3"
"Percentage change since previous census","2022","Female","25 - 44 years","Bahrain","%","100"
"Percentage change since previous census","2022","Female","25 - 44 years","Bangladesh","%","35"
"Percentage change since previous census","2022","Female","25 - 44 years","Myanmar","%","-3.1"
"Percentage change since previous census","2022","Female","25 - 44 years","China","%","34.4"
"Percentage change since previous census","2022","Female","25 - 44 years","United Arab Emirates (the)","%","191.9"
"Percentage change since previous census","2022","Female","25 - 44 years","Georgia","%","99.5"
"Percentage change since previous census","2022","Female","25 - 44 years","Hong Kong","%","16"
"Percentage change since previous census","2022","Female","25 - 44 years","India","%","198.1"
"Percentage change since previous census","2022","Female","25 - 44 years","Indonesia","%","56.7"
"Percentage change since previous census","2022","Female","25 - 44 years","Iran (Islamic Republic of)","%","82.5"
"Percentage change since previous census","2022","Female","25 - 44 years","Iraq","%","25.9"
